date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:59	43/43	---M--	200	added ('OK')	image/gif	etag:%2228a064d-2b-576a4c0a05380%22	http://demo.2webros.com/myvitae/img/blank.gif	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/blank.gif	(from http://demo.2webros.com/myvitae/css/style.css)
11:40:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:10:57%20GMT	http://demo.2webros.com/myvitae/img/leftarrow.png	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/leftarrow.png	(from http://demo.2webros.com/myvitae/css/style.css)
11:41:00	3148/3148	---M--	200	added ('OK')	image/png	etag:%2228a0660-c4c-576a4bf50a200%22	http://demo.2webros.com/myvitae/img/rightarrow.png	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/rightarrow.png	(from http://demo.2webros.com/myvitae/css/style.css)
11:41:00	1003/1003	---M--	200	added ('OK')	image/png	etag:%2228a0650-3eb-576a4c081cf00%22	http://demo.2webros.com/myvitae/img/fancybox_overlay.png	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/fancybox_overlay.png	(from http://demo.2webros.com/myvitae/css/style.css)
11:41:12	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2228a0644-11497-576a4beb80b80%22	http://demo.2webros.com/myvitae/icon/fontawesome-webfont.eot?v=4.5.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/fontawesome-webfont3295.eot	(from http://demo.2webros.com/myvitae/css/font-awesome.css)
11:41:12	95666/95666	---M--	200	added ('OK')	image/png	etag:%2228a064e-175b2-576a4c0a05380%22	http://demo.2webros.com/myvitae/img/blurpic.png	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/blurpic.png	(from http://demo.2webros.com/myvitae/css/style.css)
11:41:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:11:11%20GMT	http://demo.2webros.com/myvitae/icons/fontawesome-webfont.woff2?v=4.5.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icons/fontawesome-webfont.2f3295.delayed	(from http://demo.2webros.com/myvitae/css/font-awesome.css)
11:41:16	116684/116684	---M--	200	added ('OK')	image/gif	etag:%2228a065e-1c7cc-576a4bf6f2680%22	http://demo.2webros.com/myvitae/img/preloader.gif	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/preloader.gif	(from http://demo.2webros.com/myvitae/css/style.css)
11:41:24	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2228a0644-11497-576a4beb80b80%22	http://demo.2webros.com/myvitae/icon/fontawesome-webfont.eot?	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/fontawesome-webfontd41d.eot	(from http://demo.2webros.com/myvitae/css/font-awesome.css)
11:41:28	366270/366270	---M--	200	added ('OK')	image/svg+xml	etag:%2228a0645-596be-576a4beb80b80%22	http://demo.2webros.com/myvitae/icon/fontawesome-webfont.svg?v=4.5.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/fontawesome-webfont3295.svg	(from http://demo.2webros.com/myvitae/css/font-awesome.css)
11:41:28	83588/83588	---M--	200	added ('OK')	font/woff	etag:%2228a0647-14684-576a4be7b0280%22	http://demo.2webros.com/myvitae/icon/fontawesome-webfont.woff?v=4.5.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/fontawesome-webfont3295.woff	(from http://demo.2webros.com/myvitae/css/font-awesome.css)
11:41:37	252817/252817	---M--	200	added ('OK')	image/png	etag:%2228a0657-3db91-576a4bfe93880%22	http://demo.2webros.com/myvitae/img/mainpic.png	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/mainpic.png	(from http://demo.2webros.com/myvitae/css/style.css)
11:41:41	142072/142072	---M--	200	added ('OK')	font/ttf	etag:%2228a0646-22af8-576a4be998700%22	http://demo.2webros.com/myvitae/icon/fontawesome-webfont.ttf?v=4.5.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/fontawesome-webfont3295.ttf	(from http://demo.2webros.com/myvitae/css/font-awesome.css)
11:41:43	336064/336064	---M--	200	added ('OK')	image/svg+xml	etag:%2228a0640-520c0-576a4bf321d80%22	http://demo.2webros.com/myvitae/icon/font/ionicons.svg?v=2.0.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/font/ionicons28b5.svg	(from http://demo.2webros.com/myvitae/icon/css/ionicons.css)
11:41:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:11:41%20GMT	http://demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://demo.2webros.com/myvitae/bootstrap/css/bootstrap.css)
11:41:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:11:42%20GMT	http://demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://demo.2webros.com/myvitae/bootstrap/css/bootstrap.css)
11:41:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:11:42%20GMT	http://demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://demo.2webros.com/myvitae/bootstrap/css/bootstrap.css)
11:41:45	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:11:43%20GMT	http://demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://demo.2webros.com/myvitae/bootstrap/css/bootstrap.css)
11:41:45	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:11:43%20GMT	http://demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://demo.2webros.com/myvitae/bootstrap/css/bootstrap.css)
11:41:45	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20May%202021%2006:11:43%20GMT	http://demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://demo.2webros.com/myvitae/bootstrap/css/bootstrap.css)
11:41:47	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2228a063f-1d794-576a4bf321d80%22	http://demo.2webros.com/myvitae/icon/font/ionicons.eot?v=2.0.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/font/ionicons28b5.eot	(from http://demo.2webros.com/myvitae/icon/css/ionicons.css)
11:41:47	67904/67904	---M--	200	added ('OK')	font/woff	etag:%2228a0642-10940-576a4bef51480%22	http://demo.2webros.com/myvitae/icon/font/ionicons.woff?v=2.0.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/font/ionicons28b5.woff	(from http://demo.2webros.com/myvitae/icon/css/ionicons.css)
11:41:50	188508/188508	---M--	200	added ('OK')	font/ttf	etag:%2228a0641-2e05c-576a4bf139900%22	http://demo.2webros.com/myvitae/icon/font/ionicons.ttf?v=2.0.0	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/font/ionicons28b5.ttf	(from http://demo.2webros.com/myvitae/icon/css/ionicons.css)
